adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Platform_ORF,GO.Function,GO.Process,GO.Component,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
0.998974958,0.080391903,2.164889368,-4.083369105,0.394242613,cytR///cytR///cytR///ECs4861,DNA-binding transcriptional regulator CytR///DNA-binding transcriptional regulator CytR///Anti-activator for CytR-CRP nucleoside utilization regulon///DNA-binding transcriptional regulator CytR,b3934,transcription regulatory region sequence-specific DNA binding///protein binding,"negative regulation of transcription, DNA-templated",cytosol,"NC_004431.1 (4643125..4644150, complement)///NC_002655.2 (4993687..4994712, complement)///NC_000913.3 (4123431..4124456, complement)///NC_002695.1 (4924923..4925948, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.08252033,2.144651083,-4.107013059,1.839215817,yfaZ,hypothetical protein,c2792,,,cell outer membrane,"NC_004431.1 (2650115..2650678, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.083773082,-2.132994243,-4.120638525,-1.619651644,fepC///ECs0627,iron-enterobactin transporter ATP-binding protein///iron-enterobactin transporter ATP-binding protein,Z0729,ATP binding///ferric-enterobactin transmembrane transporter activity,ferric-enterobactin import into cell,plasma membrane///ATP-binding cassette (ABC) transporter complex,"NC_002655.2 (700822..701637, complement)///NC_002695.1 (701040..701855, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.083912211,2.131710961,-4.122138815,2.09768757,gshA///ECs3550,glutamate--cysteine ligase///glutamate--cysteine ligase,Z3989,glutamate-cysteine ligase activity///glutamate-cysteine ligase activity///metal ion binding///metal ion binding,glutathione biosynthetic process///glutathione biosynthetic process///hyperosmotic response///cellular response to arsenic-containing substance///cellular response to mercury ion,cytosol///cytosol,"NC_002655.2 (3606331..3607887, complement)///NC_002695.1 (3539041..3540597, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.084236861,-2.128725158,-4.125629742,-0.785703283,melA///melA///melA///ECs5101,"alpha-galactosidase///alpha-galactosidase///alpha-galactosidase, NAD(P)-binding///alpha-galactosidase",b4119,alpha-galactosidase activity///protein binding///manganese ion binding///NAD+ binding,melibiose catabolic process,cytosol,NC_004431.1 (4900458..4901813)///NC_002655.2 (5226345..5227700)///NC_000913.3 (4341911..4343266)///NC_002695.1 (5196360..5197715),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.084310954,-2.128045419,-4.126424516,-0.340809266,ygfX///Z4234///cptA///ECs3768,hypothetical protein///hypothetical protein///toxin of CptAB toxin-antitoxin pair///hypothetical protein,b2896,protein binding,negative regulation of protein binding,integral component of plasma membrane,"NC_004431.1 (3337389..3337796, complement)///NC_002655.2 (3845873..3846280, complement)///NC_000913.3 (3040416..3040823, complement)///NC_002695.1 (3778565..3778972, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.084750482,-2.124025973,-4.13112449,-0.768828418,ispA///ECs0475,geranyltranstransferase///geranyltranstransferase,Z0524,dimethylallyltranstransferase activity///geranyltranstransferase activity///protein binding,geranyl diphosphate biosynthetic process///farnesyl diphosphate biosynthetic process,cytosol,"NC_002655.2 (506257..507156, complement)///NC_002695.1 (506255..507154, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.084842948,-2.12318317,-4.132110052,-1.295681968,srmB,ATP-dependent RNA helicase SrmB,c3100,RNA binding///RNA helicase activity///RNA helicase activity///protein binding///poly(A) binding///RNA-dependent ATPase activity///ATPase activity///RNA strand annealing activity,ribosomal large subunit assembly///ribosomal large subunit assembly///ribosomal large subunit assembly,cytosol,NC_004431.1 (2975763..2977097),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.085383815,2.118272498,-4.137852941,2.531507669,leuB,3-isopropylmalate dehydrogenase,c0090,magnesium ion binding///3-isopropylmalate dehydrogenase activity///3-isopropylmalate dehydrogenase activity///manganese ion binding///metal ion binding,leucine biosynthetic process///leucine biosynthetic process///leucine biosynthetic process///cellular response to amino acid starvation,cytosol///cytosol///cytosol,"NC_004431.1 (84698..85789, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.085462339,-2.117562275,-4.138683584,-2.115756065,yehM,hypothetical protein,c2650,,,cytosol,NC_004431.1 (2497323..2499677),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.086325856,2.109796837,-4.147766605,1.035520177,uhpA///ECs4606,DNA-binding transcriptional activator UhpA///UhpA family transcriptional regulator,Z5159,DNA binding,"regulation of transcription, DNA-templated",,"NC_002655.2 (4706251..4706841, complement)///NC_002695.1 (4637268..4637858, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.086954946,2.104190637,-4.154325022,0.420869225,hslJ///hslJ///hslJ///ECs2001,heat-inducible protein///heat-inducible protein///heat-inducible lipoprotein involved in novobiocin resistance///heat-inducible protein,b1379,,response to heat,membrane,"NC_004431.1 (1659061..1659495, complement)///NC_002655.2 (2109236..2109658)///NC_000913.3 (1441321..1441743, complement)///NC_002695.1 (1978823..1979245, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.08704867,2.103359043,-4.155297929,0.42179402,dfp///dfp///dfp///ECs4514,"bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase///bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase///fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding///bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase",b3639,phosphopantothenate--cysteine ligase activity///phosphopantothenoylcysteine decarboxylase activity///protein binding///FMN binding,coenzyme A biosynthetic process,cytosol,NC_004431.1 (4243729..4244949)///NC_002655.2 (4625573..4626793)///NC_000913.3 (3812731..3813951)///NC_002695.1 (4556590..4557810),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.087178766,2.102206278,-4.156646613,0.318706034,ybbY///ybbY///ybbY///ECs0575,purine permease YbbY///purine permease YbbY///putative uracil/xanthine transporter///purine permease YbbY,b0513,xanthine transmembrane transporter activity,xanthine transport,plasma membrane///integral component of plasma membrane,NC_004431.1 (609360..610667)///NC_002655.2 (632761..634068)///NC_000913.3 (540565..541866)///NC_002695.1 (633073..634374),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.087348823,-2.100702138,-4.158406438,-0.692880183,ribD///ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase///bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,Z0515,protein binding///5-amino-6-(5-phosphoribosylamino)uracil reductase activity///diaminohydroxyphosphoribosylaminopyrimidine deaminase activity///diaminohydroxyphosphoribosylaminopyrimidine deaminase activity///NADP binding,riboflavin biosynthetic process,,NC_002655.2 (497712..498815)///NC_002695.1 (497710..498813),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.08767087,-2.097862035,-4.161729468,-1.39115012,iraD,DNA replication/recombination/repair protein,c5405,protein binding///anti-sigma factor antagonist activity,cellular response to DNA damage stimulus///negative regulation of protein catabolic process,,NC_004431.1 (5150483..5150875),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.088824865,-2.087773956,-4.173534334,-1.766826767,ompA,outer membrane protein A,c1093,protein binding///porin activity///identical protein binding,conjugation///transport///ion transport///cellular response to DNA damage stimulus///detection of virus///ion transmembrane transport///viral entry into host cell,cell outer membrane///cell outer membrane///membrane///integral component of membrane///outer membrane///pore complex,"NC_004431.1 (1062790..1063929, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.088986441,-2.08637243,-4.175174535,-2.206995595,yieL,hypothetical protein,c4641,"transferase activity, transferring acyl groups other than amino-acyl groups",mycolate cell wall layer assembly,,"NC_004431.1 (4400537..4401739, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.089094037,-2.085440606,-4.176265067,-0.34442044,pnuC///pnuC///pnuC///ECs0779,protein pnuC///required for NMN transport///nicotinamide riboside transporter///protein PnuC,b0751,nicotinamide riboside transmembrane transporter activity,nicotinamide riboside transport,plasma membrane///integral component of plasma membrane,NC_004431.1 (805287..806006)///NC_002655.2 (868684..869403)///NC_000913.3 (783166..783885)///NC_002695.1 (867030..867749),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.089738175,-2.07988658,-4.182765378,-0.290619579,mhpA///mhpA///mhpA,3-(3-hydroxyphenyl)propionate hydroxylase///3-(3-hydroxyphenyl)propionate hydroxylase///3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,b0347,3-(3-hydroxyphenyl)propionate hydroxylase activity///3-(3-hydroxyphenyl)propionate hydroxylase activity,3-(3-hydroxy)phenylpropionate catabolic process///3-(3-hydroxy)phenylpropionate catabolic process,,NC_002655.2 (427213..428877)///NC_000913.3 (368611..370275)///NC_002695.1 (427211..428875),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.089833919,2.079064592,-4.18372746,2.469195666,glnD///ECs0169,PII uridylyl-transferase///PII uridylyl-transferase,Z0177,protein binding///[protein-PII] uridylyltransferase activity///[protein-PII] uridylyltransferase activity,cellular protein modification process///regulation of nitrogen utilization,,"NC_002655.2 (189465..192137, complement)///NC_002695.1 (189464..192136, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.09086466,2.070272907,-4.194018211,0.42112053,ligA///ligA///ligA///ligA,"NAD-dependent DNA ligase LigA///NAD-dependent DNA ligase LigA///DNA ligase, NAD(+)-dependent///NAD-dependent DNA ligase LigA",b2411,DNA binding///DNA ligase (NAD+) activity///DNA ligase (NAD+) activity///protein binding///NAD+ binding,"DNA ligation///base-excision repair, DNA ligation///base-excision repair, DNA ligation",cytosol///cytosol,"NC_004431.1 (2809040..2811055, complement)///NC_002655.2 (3322386..3324401, complement)///NC_000913.3 (2528161..2530176, complement)///NC_002695.1 (3252540..3254555, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.09177776,2.062571136,-4.203034092,0.357767872,ompW///yciD///ompW///ECs1756,outer membrane protein W///outer membrane protein W///outer membrane protein W///outer membrane protein W,b1256,protein binding,transmembrane transport,cell outer membrane///cell outer membrane,NC_004431.1 (1557866..1558582)///NC_002655.2 (1848804..1849442)///NC_000913.3 (1314020..1314658)///NC_002695.1 (1756865..1757503),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.09211911,-2.059712434,-4.206380736,-1.559272519,yehP,hypothetical protein,c2651,,movement of cell or subcellular component,,NC_004431.1 (2499607..2500806),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.092915223,-2.053087912,-4.214136288,-0.357294491,znuA///znuA///znuA///znuA,high-affinity zinc transporter periplasmic component///high-affinity zinc transporter periplasmic protein///zinc ABC transporter periplasmic binding protein///high-affinity zinc transporter periplasmic protein,b1857,zinc ion binding,zinc ion transport,periplasmic space,"NC_004431.1 (2093328..2094260, complement)///NC_002655.2 (2618690..2619622, complement)///NC_000913.3 (1941651..1942583, complement)///NC_002695.1 (2543482..2544414, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.093151538,-2.051132888,-4.216425173,-1.304487188,yicI///ECs4532,alpha-xylosidase///alpha-xylosidase,Z5084,"identical protein binding///xyloglucan 1,6-alpha-xylosidase activity",,,"NC_002655.2 (4645749..4648067, complement)///NC_002695.1 (4576766..4579084, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.093949064,-2.044572922,-4.224105584,-1.275843511,betA,choline dehydrogenase,c0431,choline dehydrogenase activity,response to osmotic stress///response to osmotic stress///glycine betaine biosynthetic process from choline,membrane,"NC_004431.1 (416069..417739, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.094143403,-2.042983195,-4.225966874,-1.780327216,narZ,respiratory nitrate reductase 2 subunit alpha,c1900,protein binding///nitrate reductase activity///molybdopterin cofactor binding,anaerobic respiration///anaerobic respiration///anaerobic electron transport chain,nitrate reductase complex///membrane///membrane,"NC_004431.1 (1733618..1737481, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.09554917,-2.031584395,-4.239313133,-0.533563025,ybhQ///ybhQ///ybhQ///ECs0869,hypothetical protein///hypothetical protein///inner membrane protein///hypothetical protein,b0791,,,plasma membrane,NC_004431.1 (847252..847662)///NC_002655.2 (948650..949060)///NC_000913.3 (824630..825040)///NC_002695.1 (946997..947407),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.096135989,-2.026877598,-4.244824138,-1.779978434,ygaM,hypothetical protein,c3223,,,cytosol///integral component of plasma membrane,NC_004431.1 (3078803..3079144),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.097776583,2.013875252,-4.260047878,0.431963872,cobU///cobU///cobU///cobU,adenosylcobinamide kinase///adenosylcobinamide kinase///cobinamide kinase and cobinamide phosphate guanylyltransferase///adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase,b1993,cobinamide kinase activity///cobinamide phosphate guanylyltransferase activity,cellular response to DNA damage stimulus///cobalamin biosynthetic process///cobalamin biosynthetic process,,"NC_004431.1 (2320107..2320652, complement)///NC_002655.2 (2811053..2811598, complement)///NC_000913.3 (2065219..2065764, complement)///NC_002695.1 (2734689..2735234, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.09782237,2.013515625,-4.260468936,0.920873389,nadR,nicotinamide-nucleotide adenylyltransferase,c5475,magnesium ion binding///nicotinamide-nucleotide adenylyltransferase activity///nicotinamide-nucleotide adenylyltransferase activity///bacterial-type cis-regulatory region sequence-specific DNA binding///ATP binding///ribosylnicotinamide kinase activity,NAD biosynthetic process///response to alkaline pH///protein homotetramerization///cellular response to metal ion,,NC_004431.1 (5216696..5217928),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.100472167,-1.992995194,-4.284493008,-0.357927051,bdcR///ECs5228,transcriptional repressor for divergent bdcA///hypothetical protein,ECs5228,,"negative regulation of transcription, DNA-templated",,NC_000913.3 (4474124..4474717)///NC_002695.1 (5329662..5330255),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.101744113,1.983343216,-4.2957913,0.442331931,rlpA///rlpA///rlpA///ECs0671,"rare lipoprotein A///rare lipoprotein A///septal ring protein, suppressor of prc, minor lipoprotein///rare lipoprotein A",b0633,,,cell outer membrane///cell outer membrane,"NC_004431.1 (704093..705181, complement)///NC_002655.2 (745241..746329, complement)///NC_000913.3 (664102..665190, complement)///NC_002695.1 (745460..746548, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.101941783,1.981854436,-4.297533891,0.44580986,modA///modA///modA///modA,molybdate transporter periplasmic protein///molybdate transporter periplasmic protein///molybdate ABC transporter periplasmic binding protein; chlorate resistance protein///molybdate transporter periplasmic protein,c0840,molybdenum ion binding///tungstate binding,molybdate ion transport///molybdate ion transport,outer membrane-bounded periplasmic space///outer membrane-bounded periplasmic space///outer membrane-bounded periplasmic space,NC_004431.1 (816667..817440)///NC_002655.2 (880610..881383)///NC_000913.3 (795089..795862)///NC_002695.1 (878962..879735),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.103813315,-1.967904716,-4.313859839,-0.494404227,sbmC///sbmC///sbmC///ECs2811,DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor,b2009,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) inhibitor activity///enzyme binding",cellular response to DNA damage stimulus///negative regulation of DNA-dependent DNA replication,,"NC_004431.1 (2370293..2370766, complement)///NC_002655.2 (2823508..2823981, complement)///NC_000913.3 (2080789..2081262, complement)///NC_002695.1 (2753296..2753769, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.105514065,1.955451199,-4.328431161,0.368546958,prc///prc///prc///ECs2540,carboxy-terminal protease///carboxy-terminal protease///carboxy-terminal protease for penicillin-binding protein 3///carboxy-terminal protease,b1830,endopeptidase activity///endopeptidase activity,proteolysis///proteolysis///signal transduction///protein catabolic process///response to antibiotic,outer membrane-bounded periplasmic space///outer membrane-bounded periplasmic space,"NC_004431.1 (2064440..2066488, complement)///NC_002655.2 (2589805..2591853, complement)///NC_000913.3 (1912768..1914816, complement)///NC_002695.1 (2514598..2516646, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.105641745,1.95452464,-4.329515133,0.573873088,hemA,glutamyl-tRNA reductase,c1668,protein binding///glutamyl-tRNA reductase activity///glutamyl-tRNA reductase activity///identical protein binding,protoporphyrinogen IX biosynthetic process from glutamate///protoporphyrinogen IX biosynthetic process from glutamate,,NC_004431.1 (1503590..1504846),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.105703675,1.95407564,-4.330040404,0.340506745,ycaK,putative NAD(P)H-dependent oxidoreductase,b0901,NAD(P)H dehydrogenase (quinone) activity///electron transfer activity///FMN binding///oxidoreductase activity,,cytosol,NC_000913.3 (949668..950258),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.106168902,-1.950711313,-4.333976058,-0.77121555,wrbA///Z1504///wrbA,TrpR binding protein WrbA///amino terminal fragment of WrbA///NAD(P)H:quinone oxidoreductase,Z1504,NAD(P)H dehydrogenase (quinone) activity///NAD(P)H dehydrogenase (quinone) activity///FMN binding///identical protein binding,response to oxidative stress///protein homotetramerization///oxidation-reduction process,cytosol///membrane,"NC_004431.1 (1100781..1101377, complement)///NC_002655.2 (1392479..1392541, complement)///NC_000913.3 (1067112..1067708, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.106206643,-1.950439048,-4.334294545,-0.29162701,glcD///glcD,"glycolate oxidase subunit GlcD///glycolate oxidase subunit, FAD-linked",b2979,glycolate dehydrogenase activity,cellular response to DNA damage stimulus///glycolate catabolic process,,"NC_004431.1 (3541181..3542680, complement)///NC_000913.3 (3126522..3128021, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.106217278,-1.950362348,-4.334384266,-0.414118367,ynbA///Z2319///ynbA///ECs2010,hypothetical protein///hypothetical protein///inner membrane protein///hypothetical protein,b1408,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,,plasma membrane,"NC_004431.1 (1671738..1672343)///NC_002655.2 (2094419..2095030, complement)///NC_000913.3 (1477621..1478226)///NC_002695.1 (1993454..1994059)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.106280644,1.949905505,-4.334918661,0.329680478,yheS///yheS///yheS///ECs4203,ABC transporter ATP-binding protein///ABC transporter ATP-binding protein///ABC-F family protein predicted regulatory ATPase///ABC transporter ATP-binding protein,b3352,protein binding///ATP binding///ATP binding,,cytosol,NC_004431.1 (3912677..3914590)///NC_002655.2 (4268417..4270330)///NC_000913.3 (3481289..3483202)///NC_002695.1 (4201195..4203108),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.10628855,-1.949848525,-4.334985313,-1.5498502,fhuF,ferric iron reductase involved in ferric hydroximate transport,b4367,"2 iron, 2 sulfur cluster binding",iron import into cell///iron import into cell,cytosol,"NC_000913.3 (4604875..4605663, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.10736429,1.942135889,-4.344006272,0.386078931,ytfB///ytfB///ytfB///ECs5184,hypothetical protein///hypothetical protein///OapA family protein///hypothetical protein,b4206,metalloendopeptidase activity,septum digestion after cytokinesis///autolysis,integral component of plasma membrane,"NC_004431.1 (5045196..5045870, complement)///NC_002655.2 (5313539..5314213, complement)///NC_000913.3 (4428079..4428717, complement)///NC_002695.1 (5283553..5284227, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.108086145,-1.937004917,-4.350006603,-1.341282482,yiaN,hypothetical protein,c4400,transmembrane transporter activity///transmembrane transporter activity,carbohydrate transmembrane transport,plasma membrane///plasma membrane///plasma membrane,NC_004431.1 (4183280..4184557),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.108840335,-1.931681608,-4.356230929,-1.427994466,thiP,thiamine transporter membrane protein,c0083,thiamine transmembrane transporter activity,thiamine transmembrane transport,plasma membrane///plasma membrane///integral component of plasma membrane///ATP-binding cassette (ABC) transporter complex,"NC_004431.1 (77252..78862, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.109663316,-1.925915807,-4.362971505,-2.564339172,artQ///ECs0945,arginine transporter permease subunit ArtQ///arginine transporter permease ArtQ,Z1092,,L-arginine import across plasma membrane,"plasma membrane///plasma membrane///integral component of plasma membrane///ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","NC_002655.2 (1031790..1032506, complement)///NC_002695.1 (1030131..1030847, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.112755015,-1.904645136,-4.3878268,-2.076240562,mfd,transcription-repair coupling factor,c1389,DNA binding///protein binding///DNA translocase activity///RNA polymerase core enzyme binding,"transcription-coupled nucleotide-excision repair, DNA damage recognition///DNA repair///transcription-coupled nucleotide-excision repair///transcription-coupled nucleotide-excision repair///regulation of transcription, DNA-templated///cellular response to DNA damage stimulus",cytosol,"NC_004431.1 (1315400..1318255, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.112957258,-1.903274615,-4.389427614,-1.700188348,gltP///gltP,glutamate/aspartate:proton symporter///glutamate/aspartate:proton symporter,Z5676,transmembrane transporter activity,dicarboxylic acid transport///dicarboxylic acid transport,plasma membrane///plasma membrane,NC_002655.2 (5177615..5178928)///NC_002695.1 (5147630..5148943),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.113669172,1.898470154,-4.395038681,0.439361939,gltK///gltK///gltK///ECs0692,glutamate/aspartate transport system permease gltK///glutamate/aspartate transport system permease///glutamate/aspartate ABC transporter permease///glutamate/aspartate transport system permease,b0653,,toxin transport,plasma membrane///plasma membrane,"NC_004431.1 (717314..717988, complement)///NC_002655.2 (766396..767070, complement)///NC_000913.3 (685255..685929, complement)///NC_002695.1 (766615..767289, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.114482646,1.893017852,-4.401404993,1.89532344,nrfG///ECs5058,formate-dependent nitrite reductase complex subunit NrfG///formate-dependent nitrite reductase complex subunit NrfG,Z5675,,cytochrome c-heme linkage via heme-L-cysteine,integral component of plasma membrane,NC_002655.2 (5176677..5177273)///NC_002695.1 (5146692..5147288),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.115531737,1.886044511,-4.40954512,0.298334628,fliL///fliL///fliL///fliL,flagellar basal body protein FliL///flagellar basal body protein FliL///flagellar biosynthesis protein///flagellar basal body-associated protein FliL,b1944,,bacterial-type flagellum-dependent swarming motility///bacterial-type flagellum-dependent swarming motility,integral component of plasma membrane///bacterial-type flagellum basal body///bacterial-type flagellum basal body,NC_004431.1 (2171386..2171850)///NC_002655.2 (2719377..2719841)///NC_000913.3 (2019618..2020082)///NC_002695.1 (2644164..2644628),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.116042758,-1.882671137,-4.413482004,-0.316626994,yihP,"putative 2,3-dihydroxypropane-1-sulphonate exporter, membrane protein",b3877,transporter activity///transporter activity,organic substance transport,plasma membrane///integral component of plasma membrane///integral component of plasma membrane,"NC_000913.3 (4065809..4067194, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.116960254,-1.876652407,-4.420504578,-0.996029533,narY,respiratory nitrate reductase 2 subunit beta,c1899,protein binding///nitrate reductase activity///electron transfer activity///electron transfer activity///iron-sulfur cluster binding,cellular response to DNA damage stimulus///anaerobic respiration///anaerobic respiration///anaerobic electron transport chain,nitrate reductase complex///membrane,"NC_004431.1 (1732077..1733621, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.117192043,1.875139509,-4.422269483,2.358748967,ucpA,short chain dehydrogenase,c2960,protein binding,,,"NC_004431.1 (2823621..2824412, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.118555059,1.866304287,-4.432573715,0.386204884,amyA///amyA///amyA///ECs2666,cytoplasmic alpha-amylase///alpha-amylase///cytoplasmic alpha-amylase///alpha-amylase,b1927,alpha-amylase activity,,cytoplasm,NC_004431.1 (2155834..2157321)///NC_002655.2 (2703889..2705376)///NC_000913.3 (2006156..2007643)///NC_002695.1 (2628677..2630164),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.118728485,1.865187556,-4.433875786,0.321072008,ihfB///ihfB///ihfB///ihfB,"integration host factor subunit beta///integration host factor subunit beta///integration host factor (IHF), DNA-binding protein, beta subunit///integration host factor subunit beta",b0912,DNA binding///sequence-specific DNA binding,"transcription, DNA-templated///transcription, DNA-templated///transcription, DNA-templated",cytosol///cytosol,NC_004431.1 (1014789..1015073)///NC_002655.2 (1182694..1182978)///NC_000913.3 (963828..964112)///NC_002695.1 (1093471..1093755),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.118835326,-1.864500405,-4.434676941,-1.243993934,yhjG,hypothetical protein,c4335,,regulation of protein targeting to membrane,plasma membrane///plasma membrane///integral component of plasma membrane,"NC_004431.1 (4115014..4117089, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.119052212,-1.86310743,-4.436300934,-0.574245494,gcvP,glycine dehydrogenase,c3483,glycine dehydrogenase (decarboxylating) activity///glycine dehydrogenase (decarboxylating) activity///glycine binding///pyridoxal phosphate binding///identical protein binding,glycine decarboxylation via glycine cleavage system,cytosol///cytosol///glycine cleavage complex,"NC_004431.1 (3342121..3344994, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.11935653,-1.861157267,-4.438574316,-0.459879766,moeB///ECs0904,molybdopterin biosynthesis protein MoeB///molybdopterin biosynthesis protein MoeB,Z1049,protein binding///nucleotidyltransferase activity///molybdopterin-synthase adenylyltransferase activity,Mo-molybdopterin cofactor biosynthetic process,cytoplasm///cytosol///cytosol,"NC_002655.2 (990372..991121, complement)///NC_002695.1 (988714..989463, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
