,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene.symbol,Platform_ORF,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
475,-0.513066182,8.129427328,-2.953584031,0.018266507,0.077557796,-3.31144554,pyrD,gene:SMU_595,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
476,0.503625623,9.167681038,2.937186319,0.018731088,0.077852582,-3.312961111,rmlB,gene:SMU_1457,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
477,-0.571137626,8.821339144,-2.939115794,0.018675791,0.077852582,-3.313670751,rpoD,gene:SMU_822,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
479,0.497780492,7.042427628,2.944444234,0.01852396,0.077852582,-3.31878125,trmD,gene:SMU_868,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
480,-0.509301117,8.715180524,-2.935351743,0.018783824,0.077852582,-3.325148719,covX,gene:SMU_1515,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
483,-0.722907098,7.736807955,-2.940559015,0.01863454,0.077852582,-3.330782438,gidA,gene:SMU_2141,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
486,-0.594381089,7.810359621,-2.935463924,0.018780595,0.077852582,-3.34036806,mraY,gene:SMU_456,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
489,0.509408933,7.327367543,2.925377471,0.019073248,0.078398997,-3.354235388,birA,gene:SMU_1578,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
491,1.565624127,9.95163998,2.85970169,0.02109817,0.084020293,-3.35881097,clpB,gene:SMU_1425,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
492,0.800187296,5.014839743,2.846002771,0.021547897,0.085369481,-3.359793035,lacR,gene:SMU_1498,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
495,0.604717133,9.605569745,2.867029826,0.02086159,0.08331967,-3.385134359,pyrC,gene:SMU_1214,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
496,-0.630393758,8.274051836,-2.89432462,0.02000431,0.081017504,-3.397595494,livF,gene:SMU_1665,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
497,1.684002907,10.57670569,2.795679257,0.023286838,0.089561271,-3.400240308,adhE,gene:SMU_148,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
499,-0.803247247,8.658344376,-2.875149185,0.020602671,0.082666766,-3.412039015,ftsW,gene:SMU_713,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
504,-0.966349852,9.48040035,-2.83447215,0.021934121,0.086035828,-3.422995556,rl3,gene:SMU_2025,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
505,-0.862622162,7.669357676,-2.874781678,0.020614318,0.082666766,-3.428536281,thiI,gene:SMU_842,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
507,-0.618863472,8.255386871,-2.867215446,0.020855633,0.08331967,-3.439718639,mutY,gene:SMU_1865,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
512,0.61986466,9.306969728,2.834698709,0.021926464,0.086035828,-3.459329789,pckA,gene:SMU_1389,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
516,-1.154702861,7.929898641,-2.839520327,0.021764157,0.085881363,-3.478264665,rl16,gene:SMU_2020,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
521,-1.403463169,-2.346996133,-2.487987501,0.03755854,0.117490336,-3.493237255,SSRC34,gene:EBG00001213025,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
528,0.887784865,6.217812351,2.783126101,0.023742774,0.090511971,-3.529569624,dagK,gene:SMU_1618,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
529,-0.80245883,1.662364804,-2.612055467,0.030955795,0.104624431,-3.530903731,mutE2,gene:SMU_656,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
533,0.657727011,9.340004766,2.776505238,0.023986943,0.091011998,-3.545450122,dnlJ,gene:SMU_1543,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
535,-1.079947348,8.462864222,-2.785101953,0.023670404,0.090507186,-3.549748975,rs11,gene:SMU_2002,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
536,-0.798905073,11.53044186,-2.645481744,0.029388066,0.101545804,-3.554734351,rpoC,gene:SMU_1989,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
539,0.847995112,8.649723114,2.790300435,0.023481084,0.089957628,-3.562086705,agaL,gene:SMU_877,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
542,-0.501322959,8.147633731,-2.782119557,0.023779728,0.090511971,-3.573032104,rgpG,gene:SMU_246,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
543,0.502164212,5.847341472,2.739783737,0.025388927,0.093981902,-3.57529466,acpP,gene:SMU_27,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
546,-0.59702709,3.929725887,-2.65586784,0.028917658,0.100803073,-3.58543029,rl33,gene:SMU_1610,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
547,-0.625885612,6.25161051,-2.730414176,0.025759965,0.0949989,-3.604946332,kitH,gene:SMU_1086,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
549,-1.009565616,7.068067734,-2.74443311,0.025206855,0.093788644,-3.611545791,pyrDB,gene:SMU_1223,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
556,0.625348719,8.323035382,2.751319372,0.024939648,0.093530291,-3.627746731,dacA,gene:SMU_253,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
562,-0.98344042,11.12548836,-2.601096286,0.031488174,0.105403412,-3.650099069,rpoB,gene:SMU_1990,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
563,0.443746932,6.762279701,2.718897144,0.026223691,0.095156582,-3.652082726,mtlD,gene:SMU_1182,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
565,-0.468835497,6.578968354,-2.70662779,0.026727148,0.095808382,-3.658924661,leuD,gene:SMU_1381,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
569,-0.521452819,6.536060346,-2.694660073,0.027227789,0.096605658,-3.674833315,folA,gene:SMU_970,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
571,0.802523153,6.683783174,2.693106363,0.027293486,0.096605658,-3.688498484,galK,gene:SMU_886,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
579,-1.095104022,8.236071243,-2.683568687,0.027700358,0.097246985,-3.712510627,murZ,gene:SMU_1572,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
582,0.489019271,5.115453343,2.609459984,0.031081044,0.104774274,-3.723108741,aroK,gene:SMU_785,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
585,-0.735364514,7.405137894,-2.665085153,0.028506642,0.099899829,-3.744988083,dedA,gene:SMU_1918,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
589,-0.590892979,8.307772986,-2.648313913,0.02925902,0.101455267,-3.773182334,parC,gene:SMU_1204,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
591,-0.582644047,9.283120058,-2.616466536,0.030744114,0.104223602,-3.777784972,hlyX,gene:SMU_1693,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
595,1.429146285,9.869310345,2.577815436,0.032650313,0.106494321,-3.793958126,glgD,gene:SMU_1537,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
598,-0.628740621,5.931541157,-2.587859911,0.032143642,0.106204047,-3.803058185,idh,gene:SMU_672,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
601,-0.676853015,7.385672648,-2.619577723,0.030595701,0.103930567,-3.814596315,glyA,gene:SMU_1082,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
602,-0.603048192,9.788966637,-2.558707912,0.033636711,0.108323536,-3.824138221,pyrG,gene:SMU_97,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
604,0.440359322,8.105976083,2.619382394,0.030604997,0.103930567,-3.829086989,proC,gene:SMU_1974,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
605,1.701771712,9.823846803,2.553927521,0.033888199,0.108894816,-3.831373714,grpE,gene:SMU_81,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
609,0.960188362,15.30984618,2.312357915,0.049416265,0.134295166,-3.842186254,pfl,gene:SMU_402,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
613,-0.559270269,8.509337575,-2.585690015,0.032252415,0.106204047,-3.864163543,atpE,gene:SMU_1531,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
619,0.637134975,9.881740571,2.518878399,0.035791388,0.113531202,-3.885736479,pulA,gene:SMU_1541,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
621,0.532821211,10.3862692,2.479480721,0.038060521,0.117886039,-3.891934978,tkt,gene:SMU_291,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
623,-0.448518986,7.300472026,-2.558349263,0.033655513,0.108323536,-3.907986307,lmrB,gene:SMU_745,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
626,-0.658059824,10.9266657,-2.436815316,0.040682372,0.121707577,-3.909324734,pyrAB,gene:SMU_860,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
629,0.574403893,10.59545074,2.448972237,0.039917259,0.121008938,-3.916856007,clpC,gene:SMU_2029,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
630,-0.570977162,10.03450783,-2.482048938,0.03790826,0.117886039,-3.918310562,pepN,gene:SMU_1132,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
636,-0.736223127,10.98269465,-2.413123376,0.042216204,0.123821431,-3.940181119,rl19,gene:SMU_1288,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
641,-0.900899695,8.556188033,-2.52099066,0.035673677,0.113522845,-3.953089416,rl17,gene:SMU_2000,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
643,-0.536727462,4.895749239,-2.43804906,0.040604054,0.121707577,-3.96529125,glrA,gene:SMU_1035,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
650,0.603524215,10.13084299,2.443909783,0.040234092,0.121008938,-3.972218385,trxA,gene:SMU_1869,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
651,0.488733699,9.770237868,2.46596106,0.038872309,0.119649088,-3.97688382,pbpX,gene:SMU_889,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
653,0.790306204,7.958011832,2.516264593,0.035937594,0.113629604,-3.985700063,msmE,gene:SMU_878,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
657,1.783556916,-3.169740084,2.071221367,0.071991425,0.168692496,-4.002953306,CRISPR-DR22,gene:EBG00001213043,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
661,-1.007083783,9.955782485,-2.42147281,0.041669119,0.123258128,-4.010677158,rl1,gene:SMU_1626,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
675,-0.540515936,6.624646452,-2.444205869,0.040215492,0.121008938,-4.059235067,ylmG,gene:SMU_555,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
677,0.670762785,9.841122415,2.40561948,0.042714053,0.124666903,-4.060720217,ptnC,gene:SMU_1878,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
679,1.151042634,5.802223179,2.416360753,0.042003226,0.123821431,-4.061612961,asd,gene:EBG00001213030,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
680,-0.790040126,11.23885674,-2.316783028,0.049075669,0.133553512,-4.06223117,adhD,gene:SMU_130,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
681,0.490446678,8.20346135,2.463249776,0.039037203,0.119956982,-4.067757315,budC,gene:SMU_1322,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
691,0.829294003,7.52546321,2.447185445,0.040028797,0.121008938,-4.08623768,malF,gene:SMU_1569,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
692,-0.490356842,10.27755187,-2.352731962,0.046394293,0.130765628,-4.090483903,opuAa,gene:SMU_1063,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
693,1.808870987,9.026694651,2.423058795,0.041566009,0.123258128,-4.092028885,pdhD,gene:SMU_1424,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
695,-0.856629148,6.052078055,-2.398313276,0.043204461,0.125135277,-4.0946346,cah,gene:SMU_1595,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
696,-0.83604079,10.20403916,-2.348957211,0.046668814,0.131055305,-4.100711911,rl11,gene:SMU_1627,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
700,1.295424152,11.00381955,2.286674678,0.051440163,0.138075166,-4.122883353,glgA,gene:SMU_1536,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
701,0.451974867,7.174842804,2.418912205,0.041836135,0.123566909,-4.123969403,era,gene:SMU_1617,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
704,1.38076236,2.535579123,2.240446557,0.055293225,0.143167366,-4.133219964,lacF,gene:SMU_1492,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
709,0.820724961,7.100719174,2.399949357,0.043094154,0.125135277,-4.150993706,sloR,gene:SMU_186,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
711,0.506558174,11.40041042,2.243867994,0.05499848,0.142778948,-4.155549545,pknB,gene:SMU_484,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
713,-0.5856186,6.945010754,-2.384494249,0.044147554,0.126972483,-4.160043641,rf1,gene:SMU_1085,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
714,-0.541564307,5.489236046,-2.331104454,0.047989364,0.132818253,-4.164133865,pth,gene:SMU_07,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
720,1.211767168,-5.441356439,1.853114094,0.1008856,0.209890815,-4.189782609,LSU_rRNA_bacteria,gene:EBG00001212947,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
724,0.737211577,6.016617861,2.323007357,0.048600556,0.133553512,-4.216662116,lacG,gene:SMU_1490,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
728,-0.457618426,6.151576845,-2.317304066,0.04903572,0.133553512,-4.226715714,bglC,gene:SMU_983,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
730,0.541617587,5.360804549,2.284238973,0.05163634,0.138075166,-4.228827011,cilG,gene:SMU_1019,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
733,-0.924447832,7.761873308,-2.340488051,0.047290673,0.131972415,-4.24260415,rl14,gene:SMU_2017,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
735,-0.426164488,4.88386028,-2.250039351,0.054470776,0.142226475,-4.244793969,ssb2,gene:SMU_1967,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
736,-0.625134661,8.900527277,-2.322409171,0.048646016,0.133553512,-4.246714089,exoA,gene:SMU_1649,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
738,1.285424363,10.83817033,2.209715783,0.058011767,0.147877541,-4.249815736,hrcA,gene:SMU_80,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
739,0.539810402,7.627929478,2.337936604,0.047479637,0.132312604,-4.25278951,fpg,gene:SMU_1614,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
741,-0.475574843,7.736604956,-2.331836001,0.047934525,0.132818253,-4.261218586,dltC,gene:SMU_1689,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
742,0.732230719,3.84187884,2.195199826,0.0593415,0.150489433,-4.261233292,bglB2,gene:SMU_982,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
744,0.432089896,7.220210042,2.317228372,0.049041522,0.133553512,-4.278780205,tagI,gene:SMU_2087,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
747,0.523404604,10.91648261,2.178897045,0.06087084,0.152602429,-4.28721644,nrdD,gene:SMU_2074,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
748,1.309502457,12.69636064,2.093060694,0.069585736,0.165412839,-4.288160709,dnaK,gene:SMU_82,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
752,-0.770836329,6.796041471,-2.284895143,0.051583417,0.138075166,-4.303210392,thyA,gene:SMU_944,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
762,-0.494638735,9.180301767,-2.255347322,0.054020923,0.141921813,-4.33268554,syfB,gene:SMU_1510,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
767,0.433971814,10.62464208,2.158101314,0.062878191,0.154879738,-4.344378368,pgi,gene:SMU_307,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
768,0.786695328,9.306578041,2.249888087,0.05448365,0.142226475,-4.34602667,lytS,gene:SMU_577,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
772,0.378538391,7.400873181,2.269059431,0.052875832,0.140032238,-4.354249842,rnh,gene:SMU_994,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
773,0.884582695,10.99244154,2.127862873,0.065913759,0.159962767,-4.355120313,dnaJ,gene:SMU_83,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
775,0.666500607,9.508724682,2.228474938,0.056336927,0.144918848,-4.359857187,rpoE,gene:SMU_96,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
779,-0.757928777,3.972411494,-2.127853581,0.065914713,0.159962767,-4.369943342,sfp,gene:SMU_1334,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
781,-0.610158645,7.497699214,-2.254020184,0.054133052,0.142027275,-4.372632724,csbB,gene:SMU_2067,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
782,-0.827412531,3.016586487,-2.088086866,0.070126618,0.165982865,-4.373964125,nrgA,gene:SMU_1658,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
783,-0.506189998,6.679794544,-2.235810867,0.055695076,0.14345481,-4.375609032,pstC,gene:SMU_1136,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
785,-0.501887524,9.450113571,-2.205695133,0.058377099,0.148616797,-4.385563831,ylmF,gene:SMU_554,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
786,-0.45315181,7.301096486,-2.242086867,0.055151723,0.142988632,-4.386593871,murG,gene:SMU_549,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
787,-0.38530696,8.336366558,-2.245707932,0.054840621,0.142556712,-4.386768713,galE,gene:SMU_888,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
791,-0.482658972,9.72000295,-2.183941132,0.060393551,0.151946138,-4.393991134,atpG,gene:SMU_1533,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
793,-0.401684988,9.635340033,-2.189102206,0.059909015,0.151345054,-4.395925222,sys,gene:SMU_1886,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
796,0.417892692,10.76577978,2.108442796,0.067938698,0.163467135,-4.40321587,ilvB,gene:SMU_231,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
798,1.234453724,2.590704239,2.052303247,0.07414078,0.171851057,-4.407863384,lacB,gene:SMU_1495,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
800,0.45179693,3.079145693,2.062837048,0.072936397,0.169897888,-4.418136234,comF,gene:SMU_498,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
801,0.719322353,9.683494933,2.175552885,0.061189325,0.152602429,-4.420855114,fruA,gene:SMU_78,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
803,-0.670157948,10.46320951,-2.109229052,0.067855543,0.163466405,-4.432262555,dltA,gene:SMU_1691,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
813,-0.599217131,7.468727356,-2.183502443,0.060434914,0.151946138,-4.477379243,nylA,gene:SMU_1218,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
816,0.448056419,8.078259501,2.183289504,0.060455002,0.151946138,-4.48927609,galT,gene:SMU_887,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
819,0.459618186,7.010720852,2.167826297,0.061931474,0.153699118,-4.496351347,kthY,gene:SMU_1663,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
824,1.036213689,11.02237248,2.024318273,0.077435212,0.177444451,-4.502027876,cysK,gene:SMU_496,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
826,-0.56788301,7.374559377,-2.161494168,0.062546292,0.154835426,-4.507792412,vacB,gene:SMU_1607,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
827,-0.487511089,6.379736748,-2.136509001,0.065031388,0.158403615,-4.509304799,hsdM,gene:SMU_891,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
829,0.75825941,7.430535583,2.160123255,0.06268019,0.154879738,-4.517494543,msmF,gene:SMU_879,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
830,-0.577006872,9.540705435,-2.104210286,0.068388049,0.163840949,-4.525767134,atpC,gene:SMU_1529,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
831,0.380269549,7.121416996,2.147299612,0.06394643,0.156533879,-4.530144056,rnpA,gene:SMU_336,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
833,-0.692229905,3.923373149,-2.012528854,0.07886525,0.179213035,-4.533340665,argC,gene:SMU_663,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
834,0.597564159,5.678327055,2.094257096,0.069456242,0.16530418,-4.533548055,treR,gene:SMU_2040,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
835,-0.475182211,9.329153455,-2.112621289,0.067497919,0.163137285,-4.533652952,ylmH,gene:SMU_556,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
837,-0.468261525,8.10983752,-2.143510489,0.06432537,0.157110244,-4.541866599,tyrS,gene:SMU_1992,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
844,0.655805377,7.156287499,2.112092411,0.067553554,0.163137285,-4.584020614,purE,gene:SMU_50,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
845,-0.377277874,8.792135096,-2.10229533,0.068592308,0.163840949,-4.586034031,ilvA,gene:SMU_234,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
847,-0.73871176,8.444043416,-2.103749822,0.06843711,0.163840949,-4.587942319,rl5,gene:SMU_2015,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
851,-0.457669441,10.11600364,-2.00311374,0.080025644,0.180859788,-4.61997164,dexA,gene:SMU_2042,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
852,0.363394148,8.654065212,2.089624577,0.069958961,0.165982865,-4.621175613,bccP,gene:SMU_1738,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
858,-1.074070016,7.680516245,-2.072751076,0.071820309,0.168491641,-4.638474146,glpF,gene:SMU_396,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
859,-0.34163542,7.144905365,-2.068796406,0.072263501,0.169129167,-4.640032145,lepC,gene:SMU_1874,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
862,0.376928688,8.92221318,2.056397929,0.07367033,0.171203252,-4.658313989,recN,gene:SMU_585,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
864,-0.629044916,4.491464566,-1.94686801,0.087309285,0.191920347,-4.659726814,smpB,gene:SMU_1606,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
869,-0.400744595,6.217371846,-2.021985775,0.077716129,0.177881581,-4.668443589,ipk,gene:SMU_1996,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
872,-0.506883898,6.077432167,-2.008439963,0.079367181,0.17957735,-4.677935932,rpiB,gene:SMU_2142,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
877,-0.664751937,8.950118093,-2.018089034,0.078187646,0.178546557,-4.693746142,ftsE,gene:SMU_1325,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
880,-0.474575435,9.225951234,-2.000767492,0.080317378,0.181104213,-4.70576404,clpP,gene:SMU_1672,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
881,0.888395372,12.40176186,1.806631817,0.108339836,0.218339628,-4.707046257,phsG,gene:SMU_1535,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
882,-0.38481353,9.793421502,-1.963229367,0.085127077,0.189352563,-4.710463409,dnaG,gene:SMU_821,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
883,0.367390498,8.789127551,2.020821262,0.077856749,0.177996947,-4.716862285,scrK,gene:SMU_1840,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
889,0.406140868,6.841785249,2.002083084,0.08015367,0.180941865,-4.733019948,hisH,gene:SMU_1266,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
890,-0.363201615,7.936999901,-2.011970019,0.078933668,0.179213035,-4.737867519,acpS,gene:SMU_1835,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
891,-0.600589776,8.326166939,-1.999930323,0.080421721,0.181132483,-4.746387634,atpA,gene:SMU_1527,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
895,-0.519099706,10.63801615,-1.868261844,0.098563376,0.207540598,-4.760465616,atpD,gene:SMU_1530,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
